rfid,Sex,Squad #,ChamberColor,ChamberNumber,DelayLever,Shipment,3-cleaning-criteria (jeab paper),ObjectiveAUC-normD,Hyperbolic-k-FittedBias,Hyperbolic-k-ln,Exponential-k-FittedBias,Exponential-k-ln
25289,F,5,Green,6,R,R,0,0.610382078,0.140328173,-1.963771503,0.087399895,-2.437261199
25291,F,2,Green,7,L,R,0,0.526394056,0.079874306,-2.52730105,0.052965881,-2.938107324
25292,F,13,Blue,5,L,R,1,0.579262161,0.165020033,-1.801688401,0.095382063,-2.349864742
25293,F,4,Red,6,L,R,0,0.441954896,0.275014774,-1.290930458,0.144415977,-1.935057415
25294,F,7,Red,5,L,R,0,0.818214751,0.060582904,-2.803742542,0.044857147,-3.104272342
25352,M,1,Blue,6,R,R,0,0.519075973,0.065464375,-2.726249182,0.047834427,-3.040009664
25353,F,2,Red,8,L,R,0,0.709051676,0.060245665,-2.809324653,0.043225915,-3.14131509
25354,M,6,Green,8,R,R,0,0.461522267,0.129482398,-2.044210332,0.075475367,-2.583948943
25359,F,1,Green,3,L,R,0,0.545385988,0.034875132,-3.355981256,0.027828026,-3.581711646
25360,M,8,Green,8,R,R,0,0.768932514,0.083694114,-2.48058663,0.054114213,-2.916658402
25361,F,2,Green,8,R,R,0,0.564510394,0.071966506,-2.631554467,0.048775392,-3.020529356
25373,M,5,Blue,2,R,R,0,0.649761931,0.124397565,-2.084272673,0.069126617,-2.671815423
25401,M,7,Green,8,L,R,0,0.519029344,0.180392624,-1.71261956,0.088629692,-2.423288349
25426,M,8,Blue,6,L,R,0,0.879840921,0.070611968,-2.650555625,0.048372998,-3.028813514
25429,M,1,Red,7,L,R,0,0.564848039,0.136352318,-1.992513169,0.076829069,-2.566172205
25430,M,7,Blue,6,R,R,0,0.552773833,0.033680753,-3.390828729,0.027707116,-3.586066009
25432,M,3,Blue,5,L,R,0,0.813404156,0.014269096,-4.249659211,0.013807516,-4.282542233
25436,F,5,Blue,6,R,R,0,0.508028213,0.047191849,-3.053534089,0.039291209,-3.236754473
25437,F,6,Red,6,L,R,0,0.406096058,0.092350984,-2.382158913,0.056416642,-2.874991095
25440,F,8,Red,5,R,R,0,0.556402771,0.088852569,-2.420776808,0.057283387,-2.859744634
25441,F,14,Blue,5,R,R,0,0.454046138,0.142792785,-1.946360756,0.079827622,-2.5278857
25443,M,4,Blue,5,R,R,0,0.553843283,0.163140271,-1.81314489,0.087346935,-2.43786733
25444,F,8,Green,2,L,R,0,0.934858668,0.062751105,-2.768579086,0.04164709,-3.178523771
25447,M,1,Red,6,R,R,0,0.509774138,0.141149818,-1.957933411,0.078375113,-2.546248838
25448,M,3,Green,6,R,R,0,0.564163918,0.123032188,-2.095309263,0.075778843,-2.579936141
25449,F,3,Red,6,R,R,0,0.458749831,0.191591747,-1.652388491,0.094865994,-2.355289978
25450,M,4,Green,6,L,R,0,0.524184306,0.034556927,-3.365147253,0.028577351,-3.555140807
